Date,Honeywell (HON) Price
4/12/2011,41.9353
4/13/2011,41.7749
4/14/2011,41.9134
4/15/2011,42.0957
4/18/2011,41.6292
4/19/2011,41.8843
4/20/2011,42.8173
4/21/2011,44.2606
4/22/2011,44.2606
4/25/2011,43.969
4/26/2011,45.1936
4/27/2011,44.8
4/28/2011,44.472
4/29/2011,44.6323
5/2/2011,44.8583
5/3/2011,45.0478
5/4/2011,43.969
5/5/2011,43.969
5/6/2011,44.4282
5/9/2011,44.9166
5/10/2011,45.0187
5/11/2011,44.6688
5/12/2011,44.3626
5/13/2011,44.1075
5/16/2011,43.8232
5/17/2011,42.9922
5/18/2011,43.6538
5/19/2011,43.6099
5/20/2011,43.2433
5/23/2011,42.8695
5/24/2011,42.7009
5/25/2011,43.1554
5/26/2011,42.8841
5/27/2011,43.3899
5/30/2011,43.3899
5/31/2011,43.6538
6/1/2011,42.1731
6/2/2011,42.4809
6/3/2011,41.9678
6/6/2011,42.1144
6/7/2011,41.6746
6/8/2011,41.1028
6/9/2011,41.3887
6/10/2011,40.7069
6/13/2011,40.8389
6/14/2011,41.9238
6/15/2011,41.0881
6/16/2011,41.308
6/17/2011,40.9415
6/20/2011,41.3667
6/21/2011,42.3783
6/22/2011,41.7919
6/23/2011,41.418
6/24/2011,41.308
